,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0.0,0,0.0,7,95.0,0.014285714,0.061904762,0.0,0.0,3,2,6,1,1,2,0,0
1,2,14.0,0,0.0,81,1441.910588,0.002469136,0.013932981,0.0,0.0,11,2,2,3,2,2,0,0
2,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.103571429,0.0,0.0,3,2,2,1,1,2,0,0
3,5,49.2,0,0.0,5,74.6,0.0,0.018181818,0.0,0.0,9,2,2,8,2,1,0,0
4,0,0.0,0,0.0,9,279.0,0.04,0.041666667,0.0,0.0,11,3,2,7,8,1,1,0
5,3,43.0,0,0.0,10,427.1666667,0.0,0.015384615,0.0,0.0,3,3,2,9,3,2,0,0
6,0,0.0,0,0.0,6,95.0,0.028571429,0.028571429,0.0,0.0,10,1,1,4,2,1,0,1
7,3,76.0,0,0.0,24,1038.845238,0.0,0.008333333,0.0,0.0,3,2,2,4,3,1,0,0
8,0,0.0,0,0.0,3,278.0,0.0,0.066666667,0.0,0.0,5,1,1,1,15,2,0,0
9,0,0.0,0,0.0,22,662.6666667,0.011363636,0.042651515,0.0,0.4,5,2,2,4,2,2,0,0
10,0,0.0,0,0.0,9,1626.0,0.022222222,0.077777778,0.0,0.0,11,2,2,3,2,2,0,0
11,1,19.0,0,0.0,10,349.8333333,0.0,0.00625,0.0,0.0,12,3,2,8,8,1,0,0
13,0,0.0,0,0.0,19,347.0,0.0,0.010526316,0.0,0.0,12,2,2,2,1,2,0,0
14,4,132.0,0,0.0,24,1614.22619,0.0,0.014285714,0.0,0.0,5,2,2,1,4,2,0,0
15,2,197.5,0,0.0,17,820.5,0.011111111,0.011111111,0.0,0.0,12,1,1,1,8,2,0,0
16,0,0.0,0,0.0,9,134.75,0.041666667500000004,0.103571429,0.0,0.0,11,1,1,2,1,2,0,0
17,0,0.0,0,0.0,3,48.0,0.0,0.066666667,0.0,0.0,3,4,1,1,1,2,0,0
18,4,21.1,0,0.0,82,2668.712121,0.018556202,0.047858483,0.0,0.0,8,2,2,1,3,2,1,0
19,4,99.5,0,0.0,9,139.5,0.0,0.017222222,0.0,0.0,12,2,2,3,8,1,0,0
20,0,0.0,0,0.0,6,364.5,0.041666667500000004,0.072222222,0.0,0.6,5,3,2,4,3,2,0,0
21,4,231.49999999999997,0,0.0,29,988.2595238,0.006451613,0.009677419,0.0,0.0,12,1,1,1,2,1,0,0
22,0,0.0,0,0.0,20,676.1666667,0.0,0.025,0.0,0.0,11,2,2,3,2,2,0,0
23,0,0.0,0,0.0,11,287.5,0.0,0.027272727,0.0,0.0,10,2,4,2,1,2,0,0
24,2,56.4,0,0.0,45,3166.333333,0.0,0.004891304,0.0,0.0,8,2,2,2,1,2,1,0
25,3,99.0,0,0.0,32,886.9583333,0.00625,0.0125,0.0,0.0,5,1,1,3,4,2,0,0
26,0,0.0,0,0.0,9,470.0,0.0375,0.066666667,0.0,0.0,12,2,4,1,1,2,0,0
27,0,0.0,0,0.0,13,524.0,0.0,0.016666667,0.0,0.0,11,2,4,9,8,1,1,1
28,10,231.49999999999997,0,0.0,82,1618.40328,0.015067698,0.022043153,0.0,0.0,7,3,2,8,4,2,0,1
29,0,0.0,0,0.0,4,47.0,0.041666667500000004,0.103571429,0.0,0.0,5,2,2,3,3,2,0,0
30,0,0.0,0,0.0,82,3394.1229175000003,0.007446809,0.028191489,0.0,0.0,9,2,2,1,13,2,0,0
31,1,11.0,0,0.0,26,651.0666667,0.0,0.016666667,0.0,0.0,11,4,2,1,3,2,0,0
32,0,0.0,0,0.0,38,531.0369048,0.0,0.027916667,0.0,0.0,12,4,2,1,3,2,0,0
33,0,0.0,0,0.0,5,210.0,0.041666667500000004,0.103571429,0.0,0.4,5,1,1,1,3,2,0,0
34,3,19.25,0,0.0,8,713.5833333,0.0,0.046969697,0.0,0.0,11,3,2,1,10,2,1,0
35,5,231.49999999999997,0,0.0,41,1355.483333,0.0,0.007142857,0.0,0.0,12,1,1,3,2,2,1,0
36,1,0.0,0,0.0,82,3394.1229175000003,0.0,0.013068182,0.0,0.0,5,2,2,7,2,2,0,0
37,0,0.0,0,0.0,10,155.9,0.02,0.04,0.0,0.0,7,2,2,6,20,2,0,0
38,3,135.5,0,0.0,30,2040.166667,0.0,0.022727273,0.0,0.0,12,2,2,8,2,2,0,1
39,0,0.0,0,0.0,7,130.0,0.041666667500000004,0.085714286,0.0,0.0,11,2,5,9,10,2,1,0
41,0,0.0,0,0.0,30,1643.958333,0.02,0.075555556,0.0,0.0,12,2,2,1,1,2,0,0
42,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.103571429,0.0,0.0,11,1,1,3,2,2,0,0
43,1,0.0,0,0.0,29,759.75,0.0,0.019354839,0.0,0.0,11,2,2,1,2,2,1,0
44,0,0.0,0,0.0,28,2102.75,0.041666667500000004,0.078333333,0.0,0.0,7,3,2,3,13,2,0,0
45,1,20.0,0,0.0,8,268.0,0.0,0.025925926,0.0,0.0,5,3,2,1,4,2,0,0
46,3,231.49999999999997,0,0.0,10,1218.0,0.0,0.018181818,0.0,0.0,3,2,5,1,2,1,0,0
47,4,204.2,0,0.0,31,652.3766667,0.012121212,0.016161616,0.0,0.0,11,1,1,6,1,2,0,0
48,5,43.325,0,0.0,20,675.6846244,0.026634769,0.049669967,0.0,0.0,7,1,1,4,2,2,0,0
49,0,0.0,0,0.0,16,994.5757576,0.0375,0.034583333,0.0,0.6,5,1,1,1,3,2,0,0
50,1,5.066666667,0,0.0,32,441.6045455,0.0,0.00625,0.0,0.0,9,2,2,6,3,1,0,0
51,5,75.89285714,0,0.0,51,3394.1229175000003,0.015757576,0.042922078,0.0,1.0,5,2,2,6,2,2,1,0
52,0,0.0,0,0.0,11,419.75,0.0,0.038461538,0.0,0.0,12,2,2,1,2,2,0,0
53,10,173.55,0,0.0,82,3394.1229175000003,0.002514286,0.01343784,0.0,0.0,11,2,2,3,2,2,0,1
54,0,0.0,0,0.0,5,131.5,0.04,0.093333333,0.0,0.6,5,1,1,1,1,2,0,0
55,3,19.0,0,0.0,82,3013.116917,0.001680672,0.007407748,0.0,0.0,11,2,5,1,2,2,0,1
57,0,0.0,0,0.0,82,2404.831006,0.001428571,0.003142857,0.0,0.0,11,1,1,4,2,2,0,0
58,0,0.0,0,0.0,6,114.0,0.0,0.033333333,0.0,0.0,5,2,2,3,1,2,1,0
59,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.103571429,0.0,0.0,12,2,2,5,1,2,0,0
60,0,0.0,0,0.0,12,465.25,0.0,0.016666667,0.0,0.0,12,3,2,6,2,2,1,0
61,10,231.49999999999997,0,0.0,82,3394.1229175000003,0.016774043,0.028505395,0.0,0.0,11,3,2,1,2,2,0,1
62,0,0.0,0,0.0,2,40.5,0.0,0.1,0.0,0.0,12,1,1,3,3,0,0,0
63,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.103571429,0.0,0.0,10,1,1,8,1,2,1,0
64,0,0.0,0,0.0,63,3301.222222,0.006451613,0.03016129,0.0,0.0,11,2,1,3,1,2,1,0
65,0,0.0,0,0.0,7,855.0,0.0,0.028571429,0.0,0.0,5,2,2,1,1,2,0,0
66,2,19.0,0,0.0,23,1875.744689,0.028571429,0.041156463,0.0,0.0,5,3,2,4,1,2,0,0
67,10,231.49999999999997,0,0.0,37,1048.663333,0.0,0.008695652,0.0,0.0,11,1,1,3,2,1,0,1
68,3,97.0,0,0.0,15,482.0,0.0125,0.025,0.0,0.0,3,2,2,6,1,2,0,0
69,2,31.6,0,0.0,4,75.6,0.0,0.028571429,0.0,0.0,8,2,2,7,4,2,0,0
70,3,112.0,0,0.0,20,1187.5,0.0,0.016666667,0.0,0.0,5,2,2,1,4,2,0,0
71,3,68.58333333,0,0.0,72,1781.191667,0.008219178,0.015174871,0.0,0.0,11,1,1,1,8,2,1,0
72,2,9.0,0,0.0,18,558.1933333,0.0,0.011111111,0.0,0.0,8,2,2,3,1,2,0,0
73,0,0.0,0,0.0,9,215.0,0.041666667500000004,0.074074074,0.0,0.8,2,4,1,1,3,2,0,0
74,0,0.0,0,0.0,12,1886.5,0.007017544,0.019298246,0.0,0.6,5,2,2,6,3,1,0,0
75,1,19.0,0,0.0,21,702.125,0.01,0.018333333,0.0,0.0,11,2,4,1,1,2,0,0
76,2,30.0,0,0.0,24,567.25,0.0,0.011538462,0.0,0.0,12,2,5,1,2,2,0,0
77,2,29.86666667,0,0.0,13,534.4833333,0.0,0.004166667,0.0,0.0,10,1,1,2,2,1,0,0
78,2,190.0,0,0.0,37,758.4428571,0.0,0.010526316,0.0,0.0,3,1,1,6,1,2,1,0
80,1,4.0,0,0.0,33,947.4166667,0.012121212,0.045165945,0.0,0.0,11,2,2,1,2,2,1,0
81,0,0.0,0,0.0,10,371.5,0.0,0.04,0.0,0.0,11,2,2,4,10,2,0,0
82,10,231.49999999999997,0,0.0,45,1534.825143,0.002678571,0.020699598,0.0,0.0,11,1,1,3,10,2,0,1
83,0,0.0,0,0.0,17,65.0,0.041666667500000004,0.076470588,0.0,0.8,5,2,2,1,3,2,0,0
84,2,13.0,0,0.0,6,47.13333333,0.04,0.06,0.0,0.0,11,1,2,2,4,2,0,0
85,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.103571429,0.0,0.0,5,1,1,2,3,1,0,0
86,0,0.0,0,0.0,8,185.0,0.025,0.033333333,0.0,0.0,12,3,2,3,10,2,0,0
87,0,0.0,0,0.0,2,262.0,0.041666667500000004,0.103571429,0.0,0.0,5,3,2,1,4,2,0,0
88,0,0.0,0,0.0,9,110.5,0.0,0.05,0.0,0.6,5,2,4,6,3,2,0,0
89,2,86.0,0,0.0,18,754.9166667,0.0,0.005555556,0.0,0.0,5,3,2,6,2,1,0,0
90,6,231.49999999999997,0,0.0,16,475.3,0.010526316,0.036842105,0.0,0.0,9,2,2,2,13,2,0,0
91,1,76.75,0,0.0,33,1356.458333,0.0,0.020833333,0.0,0.0,11,2,2,1,10,2,1,0
92,9,177.3333333,0,0.0,70,2346.220238,0.002898551,0.003457557,0.0,0.0,11,1,1,5,3,2,0,0
93,3,91.5,0,0.0,82,3041.676452,0.011764706,0.030932814,0.0,0.0,11,2,2,1,2,2,0,1
94,0,0.0,0,0.0,7,232.6666667,0.0,0.014285714,0.0,0.0,3,2,2,6,2,2,0,0
95,1,20.0,0,0.0,82,3394.1229175000003,0.006289308,0.015117319,0.0,0.0,11,1,1,1,2,2,1,0
96,5,85.5,0,0.0,30,2188.258333,0.0,0.0078125,0.0,0.0,11,2,2,2,8,1,1,1
97,3,53.0,0,0.0,24,678.0,0.0,0.014814815,0.0,0.0,5,2,5,3,2,2,0,1
98,2,39.5,0,0.0,34,1406.209524,0.010810811,0.021212121,0.0,0.2,5,2,2,8,4,2,0,1
99,0,0.0,0,0.0,14,275.0,0.0,0.023076923,0.0,0.0,11,2,2,9,20,2,1,0
100,1,92.0,0,0.0,82,3394.1229175000003,0.006896552,0.041810345,0.0,0.0,5,2,6,4,4,2,1,0
101,1,34.5,0,0.0,24,819.15,0.0,0.001449275,0.0,0.0,12,1,1,2,2,2,0,0
102,5,118.7,0,0.0,41,1019.293939,0.041666667500000004,0.05837037,0.0,1.0,5,3,2,7,3,2,1,0
103,1,6.0,0,0.0,45,1582.75,0.041666667500000004,0.050821256,0.0,0.4,2,3,2,1,1,2,0,0
104,2,98.6,0,0.0,11,1200.2,0.014285714,0.028571429,0.0,0.0,11,2,6,2,1,2,1,0
105,0,0.0,0,0.0,19,421.6,0.041666667500000004,0.077192982,0.0,0.6,5,3,2,2,13,2,0,1
106,0,0.0,0,0.0,24,530.0,0.0,0.01,0.0,0.0,5,2,6,3,4,2,1,0
107,8,116.9607143,0,0.0,42,539.227381,0.015510204,0.011281179,0.0,0.0,7,1,1,1,4,2,0,1
108,0,0.0,0,0.0,3,27.0,0.041666667500000004,0.103571429,0.0,0.0,3,2,2,1,13,2,0,0
110,1,46.4,0,0.0,13,118.2666667,0.0,0.014285714,0.0,0.0,7,1,2,1,4,2,1,0
111,3,81.0,0,0.0,28,499.6666667,0.0,0.022222222,0.0,0.0,3,2,6,1,1,2,0,0
112,1,25.5,0,0.0,49,860.2083333,0.004081633,0.012380952,0.0,0.0,12,2,2,2,10,2,1,0
113,3,25.6,0,0.0,10,327.7733333,0.0,0.013095238,0.0,0.0,7,1,1,1,5,2,0,1
114,2,32.0,0,0.0,16,504.0833333,0.005714286,0.019047619,0.0,0.0,3,2,2,3,8,2,0,0
115,5,92.5625,0,0.0,2,99.5,0.0,0.022222222,0.0,0.0,11,2,2,1,8,1,1,1
116,3,31.6,0,0.0,17,372.8,0.013333333,0.026428571,0.0,0.0,3,3,2,7,1,2,0,0
117,0,0.0,0,0.0,2,96.0,0.0,0.1,0.0,0.0,3,4,1,1,1,2,0,0
118,0,0.0,0,0.0,2,114.0,0.041666667500000004,0.066666667,0.0,0.8,2,3,3,1,3,2,0,0
119,0,0.0,0,0.0,11,720.5,0.0,0.045454545,0.0,0.0,5,6,2,2,2,2,0,0
120,1,178.0,0,0.0,3,110.0,0.0,0.016666667,0.0,0.2,5,3,2,3,4,2,0,0
121,0,0.0,0,0.0,8,232.5,0.0,0.05,0.0,0.0,11,4,2,1,2,1,0,0
122,0,0.0,0,0.0,4,302.0,0.0,0.04,0.0,0.0,12,8,13,9,20,0,0,1
123,1,169.2,0,0.0,24,1433.163333,0.008333333,0.006944444,0.0,0.0,8,3,2,3,4,2,1,1
124,4,56.5,0,0.0,9,198.25,0.018181818,0.036363636,0.0,0.0,11,1,8,3,6,2,1,0
125,4,40.5,0,0.0,32,593.5071429,0.0,0.028787879,0.0,0.0,5,3,2,6,3,2,0,0
126,2,25.0,0,0.0,7,181.75,0.0,0.022222222,0.0,0.0,12,2,2,1,2,2,0,0
127,2,20.15,0,0.0,60,1521.15,0.003333333,0.015277778,0.0,0.0,11,2,4,1,2,2,0,1
